Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,Total_Carbon_Footprint,Footprint_Category
overweight,female,vegan,daily,coal,private,electric,sometimes,278,very frequently,2193,small,5,12,37,3,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2750,Medium
normal,female,pescatarian,twice a day,coal,private,lpg,never,82,never,610,extra large,2,10,14,14,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],1121,Low
normal,female,vegetarian,twice a day,coal,private,hybrid,often,95,frequently,191,medium,1,6,23,12,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],1471,Low
overweight,female,pescatarian,less frequently,coal,private,diesel,never,129,frequently,7355,small,7,14,15,20,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",3602,High
normal,female,omnivore,twice a day,natural gas,private,hybrid,sometimes,107,frequently,1929,extra large,4,12,36,2,Yes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2098,Low
overweight,female,vegan,daily,wood,private,diesel,often,205,rarely,9423,large,6,16,30,23,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4220,High
overweight,male,pescatarian,more frequently,natural gas,private,petrol,never,141,never,6329,medium,3,11,26,12,Sometimes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3618,High
overweight,female,vegetarian,twice a day,coal,private,lpg,sometimes,296,rarely,5812,extra large,4,22,25,24,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3715,High
obese,male,omnivore,more frequently,natural gas,private,diesel,often,120,rarely,8233,large,3,11,15,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",4294,High
underweight,female,vegan,less frequently,wood,private,petrol,never,219,very frequently,304,large,7,22,2,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2157,Low
normal,male,omnivore,twice a day,natural gas,private,petrol,sometimes,255,rarely,3884,large,2,7,36,13,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3314,Medium
normal,male,vegetarian,less frequently,natural gas,private,hybrid,never,141,very frequently,7309,medium,4,4,50,21,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",4150,High
normal,male,vegetarian,less frequently,wood,private,electric,often,68,rarely,5970,small,1,22,35,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1061,Low
obese,female,omnivore,less frequently,natural gas,private,electric,never,242,frequently,7607,extra large,1,8,19,19,No,['Glass'],"['Stove', 'Oven']",2072,Low
normal,male,vegan,less frequently,wood,private,petrol,never,108,frequently,741,medium,6,13,7,0,No,"['Paper', 'Glass', 'Metal']",[],1671,Low
overweight,female,pescatarian,daily,wood,private,lpg,never,100,never,9426,small,6,12,9,7,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven']",3330,Medium
normal,male,omnivore,twice a day,coal,private,hybrid,sometimes,212,frequently,7099,extra large,7,24,31,20,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4072,High
normal,female,vegan,twice a day,electricity,private,petrol,sometimes,213,frequently,1544,small,3,18,10,19,No,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",1670,Low
underweight,male,vegan,daily,natural gas,private,lpg,sometimes,272,never,2850,small,3,6,41,10,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1977,Low
normal,female,omnivore,daily,natural gas,private,electric,never,157,very frequently,9199,large,5,7,27,18,Yes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2375,Medium
underweight,female,omnivore,more frequently,wood,private,electric,never,278,frequently,3203,medium,6,16,14,11,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1744,Low
underweight,male,vegan,twice a day,electricity,private,petrol,never,100,rarely,6921,medium,2,12,3,22,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",3250,Medium
obese,female,pescatarian,twice a day,natural gas,private,petrol,sometimes,189,rarely,4096,small,6,19,5,8,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2921,Medium
obese,male,vegan,more frequently,wood,private,electric,never,100,frequently,6329,large,5,20,19,6,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],2259,Low
obese,male,pescatarian,more frequently,natural gas,private,hybrid,sometimes,180,rarely,1249,medium,1,15,25,4,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1629,Low
obese,female,pescatarian,daily,natural gas,private,petrol,never,111,rarely,1420,large,3,24,29,12,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],2045,Low
obese,male,vegetarian,twice a day,wood,private,diesel,often,174,frequently,2330,large,4,24,8,11,Sometimes,"['Paper', 'Glass']","['Grill', 'Airfryer']",2927,Medium
overweight,female,vegan,less frequently,wood,private,diesel,often,61,never,7973,large,1,22,27,8,Sometimes,['Metal'],"['Oven', 'Microwave']",2915,Medium
obese,male,vegan,more frequently,coal,private,petrol,often,225,frequently,9303,large,2,3,5,5,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",6232,High
normal,male,vegan,less frequently,electricity,private,lpg,sometimes,203,frequently,2360,small,4,3,47,19,No,['Glass'],"['Stove', 'Microwave']",2605,Medium
overweight,female,vegan,more frequently,natural gas,private,diesel,often,268,frequently,5402,medium,5,11,34,24,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",3537,High
underweight,male,vegan,twice a day,wood,private,hybrid,often,206,very frequently,3694,extra large,2,13,40,20,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3252,Medium
overweight,male,pescatarian,more frequently,wood,private,electric,sometimes,261,very frequently,2184,extra large,4,23,22,3,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",3148,Medium
normal,male,vegan,more frequently,electricity,private,diesel,sometimes,293,frequently,4576,small,4,16,3,3,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2325,Medium
underweight,female,omnivore,daily,electricity,private,hybrid,never,232,frequently,5868,large,7,3,1,12,No,"['Plastic', 'Metal']",['Stove'],2436,Medium
underweight,male,omnivore,twice a day,wood,private,hybrid,sometimes,172,never,9375,small,4,19,46,22,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",3142,Medium
normal,male,pescatarian,twice a day,electricity,private,lpg,never,296,rarely,9928,extra large,6,13,49,0,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",4934,High
normal,male,vegan,more frequently,wood,private,lpg,sometimes,135,frequently,3570,large,5,8,48,1,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3235,Medium
obese,female,pescatarian,twice a day,wood,private,hybrid,sometimes,288,frequently,1748,medium,3,6,23,23,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2451,Medium
underweight,female,vegetarian,less frequently,wood,private,petrol,never,239,rarely,9336,small,5,9,1,11,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",3491,High
obese,female,omnivore,more frequently,electricity,private,hybrid,often,187,very frequently,2710,extra large,6,15,13,14,Sometimes,['Glass'],[],3767,High
normal,female,vegetarian,daily,coal,private,diesel,often,228,very frequently,8964,extra large,1,21,7,11,No,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4333,High
obese,male,omnivore,twice a day,wood,private,hybrid,sometimes,255,rarely,2221,large,7,20,2,10,No,"['Plastic', 'Glass']",['Microwave'],2857,Medium
underweight,male,omnivore,daily,electricity,private,lpg,often,292,rarely,9213,large,2,1,29,14,Sometimes,[],"['Stove', 'Microwave']",4277,High
overweight,female,vegetarian,more frequently,electricity,private,lpg,never,178,rarely,8806,extra large,7,18,19,10,Yes,['Glass'],"['Stove', 'Oven']",4092,High
overweight,female,omnivore,more frequently,electricity,private,lpg,often,81,rarely,337,medium,7,17,30,2,No,['Metal'],['Oven'],1591,Low
normal,male,omnivore,less frequently,natural gas,private,hybrid,often,174,frequently,239,large,4,23,34,3,Yes,['Paper'],"['Oven', 'Microwave']",2435,Medium
normal,female,vegan,more frequently,electricity,private,petrol,never,55,frequently,7749,small,6,18,15,17,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3758,High
normal,female,vegetarian,more frequently,electricity,private,hybrid,sometimes,171,very frequently,5847,small,6,8,10,9,No,"['Paper', 'Plastic', 'Glass']",[],2385,Medium
obese,female,omnivore,daily,electricity,private,electric,sometimes,145,very frequently,9277,medium,2,6,36,14,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2352,Medium
normal,female,vegan,more frequently,electricity,private,hybrid,sometimes,53,frequently,2016,small,2,0,13,6,No,['Metal'],"['Grill', 'Airfryer']",1394,Low
normal,male,vegetarian,twice a day,wood,private,electric,sometimes,86,rarely,6492,large,7,17,30,20,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1946,Low
underweight,female,pescatarian,twice a day,natural gas,private,hybrid,sometimes,156,never,729,medium,4,3,46,17,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1473,Low
underweight,male,vegetarian,twice a day,natural gas,private,electric,never,194,never,5607,medium,5,21,2,15,No,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",987,Low
underweight,female,vegetarian,less frequently,natural gas,private,diesel,never,168,very frequently,5304,extra large,6,9,0,7,Sometimes,"['Plastic', 'Metal']",['Microwave'],3402,High
underweight,male,vegan,more frequently,electricity,private,electric,often,182,never,2746,small,1,15,37,21,No,['Paper'],['Oven'],1129,Low
obese,male,vegetarian,twice a day,wood,private,electric,never,185,never,8342,extra large,5,0,41,2,Sometimes,['Glass'],"['Stove', 'Oven']",2186,Low
normal,female,vegan,more frequently,electricity,private,hybrid,sometimes,106,never,8866,extra large,5,16,32,9,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2383,Medium
normal,female,pescatarian,less frequently,electricity,private,lpg,often,99,rarely,5320,medium,3,6,30,23,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",2499,Medium
normal,female,omnivore,less frequently,wood,private,lpg,sometimes,266,very frequently,93,large,4,7,32,20,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2773,Medium
overweight,female,pescatarian,daily,wood,private,hybrid,often,295,rarely,2767,medium,1,3,41,19,No,['Glass'],"['Stove', 'Microwave']",2158,Low
underweight,male,omnivore,twice a day,natural gas,private,lpg,sometimes,223,frequently,7779,large,5,1,27,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",4145,High
underweight,female,vegan,daily,natural gas,private,petrol,never,80,very frequently,7793,medium,2,22,20,19,No,[],['Oven'],4383,High
obese,female,pescatarian,twice a day,electricity,private,petrol,sometimes,161,very frequently,3818,medium,2,0,26,7,Sometimes,"['Paper', 'Plastic', 'Metal']",['Oven'],3562,High
normal,female,omnivore,more frequently,electricity,private,lpg,often,189,very frequently,2791,small,5,19,22,0,Sometimes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2610,Medium
obese,male,omnivore,more frequently,coal,private,petrol,never,155,rarely,3238,medium,3,22,49,23,Sometimes,['Metal'],['Stove'],3872,High
obese,male,vegan,less frequently,wood,private,petrol,sometimes,171,very frequently,5945,medium,7,17,50,1,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",6260,High
obese,female,omnivore,twice a day,electricity,private,electric,never,283,frequently,9707,medium,1,6,2,10,No,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",1451,Low
underweight,male,vegan,daily,wood,private,hybrid,often,94,never,1104,small,6,13,22,9,Yes,['Metal'],"['Stove', 'Grill', 'Airfryer']",1298,Low
overweight,female,vegan,less frequently,wood,private,lpg,often,292,very frequently,966,medium,1,3,4,22,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2525,Medium
normal,female,omnivore,daily,coal,private,lpg,often,75,rarely,9590,medium,4,20,18,15,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave']",3771,High
overweight,female,omnivore,less frequently,natural gas,private,electric,never,213,never,7328,medium,3,24,24,23,No,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1287,Low
underweight,female,omnivore,more frequently,coal,private,petrol,sometimes,165,rarely,526,medium,6,11,0,12,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1655,Low
obese,female,omnivore,more frequently,natural gas,private,hybrid,often,150,never,4667,medium,1,4,45,2,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",2227,Low
underweight,female,omnivore,daily,coal,private,lpg,never,142,very frequently,6614,large,2,3,50,8,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",3962,High
overweight,male,vegetarian,daily,coal,private,diesel,never,181,very frequently,7206,medium,1,12,40,1,No,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",4874,High
obese,female,pescatarian,twice a day,electricity,private,petrol,sometimes,234,rarely,4521,small,5,17,0,16,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2651,Medium
overweight,male,vegan,less frequently,natural gas,private,petrol,often,80,very frequently,345,large,2,3,21,19,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2699,Medium
obese,male,omnivore,twice a day,wood,private,hybrid,sometimes,296,rarely,1009,large,7,15,33,10,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2934,Medium
overweight,female,vegetarian,daily,natural gas,private,petrol,often,231,very frequently,3234,large,1,6,31,15,Sometimes,['Glass'],"['Stove', 'Microwave']",3698,High
overweight,female,pescatarian,more frequently,coal,private,hybrid,sometimes,57,frequently,6220,large,6,7,1,6,No,[],"['Stove', 'Oven']",3238,Medium
obese,male,vegetarian,less frequently,coal,private,electric,sometimes,89,very frequently,1874,small,1,20,23,0,No,"['Paper', 'Plastic']","['Grill', 'Airfryer']",2998,Medium
normal,female,omnivore,daily,wood,private,hybrid,sometimes,229,never,9068,extra large,7,17,36,11,Yes,[],[],3261,Medium
normal,female,pescatarian,twice a day,natural gas,private,petrol,often,248,rarely,8434,extra large,5,20,12,19,Sometimes,['Plastic'],"['Oven', 'Microwave']",4738,High
normal,female,vegetarian,twice a day,natural gas,private,lpg,sometimes,52,rarely,596,small,4,0,40,10,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1295,Low
obese,female,pescatarian,more frequently,wood,private,hybrid,never,55,rarely,6816,medium,5,4,29,22,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",3081,Medium
obese,male,pescatarian,daily,natural gas,private,electric,never,275,very frequently,6527,medium,4,18,41,15,Yes,['Glass'],['Stove'],3574,High
normal,female,pescatarian,daily,natural gas,private,hybrid,never,171,rarely,3184,large,5,4,47,7,Yes,"['Plastic', 'Glass']",[],2018,Low
underweight,female,omnivore,twice a day,coal,private,hybrid,sometimes,85,frequently,7113,medium,5,11,22,2,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2722,Medium
normal,male,vegetarian,less frequently,wood,private,electric,often,266,frequently,4685,large,6,3,42,23,Sometimes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2617,Medium
normal,male,vegetarian,twice a day,coal,private,diesel,often,75,rarely,1350,medium,4,10,26,14,No,"['Plastic', 'Metal']","['Stove', 'Microwave']",2106,Low
underweight,male,vegan,more frequently,coal,private,petrol,often,189,very frequently,1005,large,1,2,23,13,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2982,Medium
normal,male,vegan,more frequently,coal,private,petrol,sometimes,279,frequently,3873,large,5,21,10,22,Sometimes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",3786,High
underweight,female,vegan,more frequently,electricity,private,petrol,never,132,frequently,5832,extra large,1,0,35,12,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",3027,Medium
overweight,female,omnivore,twice a day,electricity,private,lpg,sometimes,162,frequently,4539,large,4,17,27,0,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3042,Medium
normal,male,vegetarian,more frequently,coal,private,petrol,often,223,frequently,9868,medium,7,10,50,15,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",6792,High
normal,female,vegan,daily,electricity,private,electric,never,58,frequently,9665,small,1,16,21,2,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",933,Low
obese,female,vegan,daily,wood,private,electric,never,293,frequently,868,extra large,6,20,38,22,No,[],"['Stove', 'Grill', 'Airfryer']",3020,Medium
normal,male,omnivore,twice a day,coal,private,petrol,never,106,never,9544,medium,6,9,23,12,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",5294,High
overweight,female,vegetarian,more frequently,electricity,private,hybrid,sometimes,235,very frequently,3820,small,3,0,38,18,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2698,Medium
underweight,male,vegan,less frequently,coal,private,petrol,sometimes,132,very frequently,9066,medium,2,18,12,6,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",5467,High
overweight,female,omnivore,more frequently,coal,private,electric,sometimes,71,never,2553,medium,2,12,1,10,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",1070,Low
obese,male,pescatarian,more frequently,wood,private,electric,never,65,never,3709,large,3,22,50,3,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1668,Low
overweight,male,pescatarian,less frequently,wood,private,diesel,often,144,rarely,2567,medium,1,9,41,10,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2304,Low
obese,female,vegan,daily,wood,private,diesel,often,184,very frequently,4488,large,4,16,24,9,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3871,High
normal,male,pescatarian,daily,electricity,private,petrol,sometimes,184,never,3434,small,4,15,6,12,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2041,Low
normal,male,vegetarian,less frequently,natural gas,private,lpg,never,123,frequently,5174,extra large,3,6,1,12,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2840,Medium
obese,female,omnivore,twice a day,natural gas,private,electric,often,291,very frequently,9297,large,3,2,3,19,No,['Metal'],"['Stove', 'Microwave']",2924,Medium
normal,male,omnivore,less frequently,wood,private,petrol,sometimes,190,never,146,medium,4,1,28,4,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave']",1502,Low
obese,female,vegan,less frequently,coal,private,diesel,never,299,rarely,2086,extra large,6,13,35,6,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],2710,Medium
underweight,female,omnivore,more frequently,electricity,private,lpg,often,270,very frequently,7935,medium,2,24,40,9,Yes,['Metal'],['Oven'],4165,High
normal,male,vegetarian,twice a day,wood,private,diesel,never,87,rarely,9845,large,4,11,30,7,Yes,[],"['Microwave', 'Grill', 'Airfryer']",4288,High
overweight,female,omnivore,less frequently,electricity,private,electric,sometimes,127,rarely,5202,extra large,6,16,13,7,No,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1516,Low
underweight,female,omnivore,less frequently,coal,private,hybrid,often,237,never,6928,medium,4,12,23,15,Sometimes,"['Paper', 'Plastic']",['Stove'],2310,Low
normal,female,vegetarian,more frequently,natural gas,private,petrol,never,279,never,1958,medium,1,0,25,4,No,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1432,Low
normal,male,vegan,more frequently,wood,private,hybrid,often,152,never,5086,medium,4,7,16,13,No,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2120,Low
normal,female,pescatarian,more frequently,wood,private,diesel,never,63,rarely,31,medium,5,3,14,2,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave']",975,Low
obese,female,omnivore,twice a day,natural gas,private,electric,never,65,never,5183,small,2,10,8,19,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",850,Low
obese,female,vegetarian,twice a day,coal,private,lpg,sometimes,111,frequently,596,medium,2,23,10,3,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",2030,Low
overweight,female,pescatarian,twice a day,natural gas,private,electric,sometimes,248,rarely,1921,small,6,20,47,11,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1717,Low
normal,female,pescatarian,more frequently,coal,private,hybrid,often,257,frequently,3696,small,4,11,11,18,Sometimes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2319,Medium
overweight,female,omnivore,less frequently,natural gas,private,lpg,often,152,never,8403,large,4,20,29,23,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",4136,High
obese,male,vegan,daily,electricity,private,diesel,never,90,never,9635,extra large,3,7,21,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3842,High
normal,female,vegan,less frequently,electricity,private,hybrid,never,244,rarely,8855,extra large,2,21,17,1,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",2081,Low
obese,male,pescatarian,daily,wood,private,petrol,never,207,never,1834,small,1,18,27,7,Sometimes,['Paper'],['Stove'],2059,Low
normal,male,pescatarian,more frequently,wood,private,petrol,often,217,never,2853,extra large,7,3,13,17,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2910,Medium
overweight,female,vegetarian,daily,coal,private,lpg,never,136,rarely,3030,medium,2,24,18,9,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1980,Low
obese,male,vegan,twice a day,natural gas,private,hybrid,never,175,very frequently,7753,extra large,3,18,31,8,No,['Glass'],"['Oven', 'Microwave']",4924,High
overweight,female,vegan,less frequently,electricity,private,hybrid,sometimes,66,frequently,1851,medium,1,19,22,4,No,"['Paper', 'Plastic', 'Glass']",['Oven'],1464,Low
normal,female,omnivore,more frequently,wood,private,petrol,sometimes,172,very frequently,1554,extra large,3,13,46,7,Sometimes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3279,Medium
normal,female,omnivore,more frequently,wood,private,lpg,never,291,very frequently,4359,medium,2,1,15,15,No,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3175,Medium
overweight,male,vegan,less frequently,natural gas,private,lpg,often,52,rarely,723,medium,2,5,10,10,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1377,Low
normal,male,omnivore,daily,natural gas,private,petrol,sometimes,125,never,2622,small,2,16,14,19,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1770,Low
normal,female,omnivore,twice a day,wood,private,lpg,sometimes,80,very frequently,703,large,5,18,48,6,Yes,['Metal'],"['Stove', 'Grill', 'Airfryer']",2836,Medium
underweight,female,vegan,more frequently,coal,private,lpg,never,71,never,9198,small,1,19,37,7,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2854,Medium
normal,female,vegan,daily,coal,private,lpg,often,68,never,9368,medium,6,3,37,20,Sometimes,"['Paper', 'Plastic', 'Metal']",['Stove'],3718,High
overweight,female,pescatarian,twice a day,natural gas,private,hybrid,sometimes,214,rarely,8159,large,1,4,46,11,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2773,Medium
underweight,male,pescatarian,more frequently,coal,private,electric,sometimes,180,very frequently,5384,large,5,3,3,4,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2566,Medium
normal,female,vegetarian,daily,natural gas,private,electric,often,140,never,9076,small,7,19,2,17,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",804,Low
normal,female,omnivore,more frequently,electricity,private,electric,sometimes,124,frequently,6432,large,6,10,15,0,Sometimes,"['Paper', 'Glass']","['Grill', 'Airfryer']",1612,Low
overweight,female,vegetarian,twice a day,wood,private,lpg,often,105,frequently,8943,medium,3,22,24,4,No,"['Plastic', 'Glass']","['Stove', 'Microwave']",4025,High
normal,male,pescatarian,less frequently,wood,private,diesel,often,59,very frequently,6487,medium,2,20,13,15,No,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",4058,High
underweight,female,vegan,less frequently,coal,private,electric,sometimes,245,very frequently,6038,small,6,18,48,4,Sometimes,[],"['Stove', 'Microwave']",2629,Medium
overweight,male,vegetarian,less frequently,natural gas,private,petrol,sometimes,131,never,4102,large,3,15,39,21,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave']",3661,High
normal,female,pescatarian,daily,electricity,private,petrol,sometimes,171,rarely,5779,medium,3,3,45,2,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",3023,Medium
normal,female,vegetarian,less frequently,coal,private,petrol,often,238,very frequently,8517,extra large,3,0,24,1,Sometimes,"['Plastic', 'Glass', 'Metal']",[],5031,High
overweight,female,pescatarian,less frequently,electricity,private,electric,sometimes,260,very frequently,4099,medium,7,12,25,24,Sometimes,"['Plastic', 'Glass']",['Stove'],2538,Medium
overweight,male,omnivore,more frequently,electricity,private,petrol,never,240,rarely,9925,extra large,1,14,5,13,Sometimes,['Plastic'],['Stove'],5289,High
normal,female,vegan,daily,wood,private,electric,sometimes,113,never,577,large,7,5,15,16,Yes,['Metal'],"['Stove', 'Grill', 'Airfryer']",1327,Low
obese,male,pescatarian,daily,electricity,private,petrol,often,262,frequently,8682,small,6,2,49,12,No,['Glass'],"['Stove', 'Grill', 'Airfryer']",6776,High
underweight,male,omnivore,less frequently,coal,private,petrol,often,156,frequently,4246,large,4,4,19,0,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3648,High
overweight,female,vegetarian,twice a day,natural gas,private,diesel,never,220,very frequently,7413,large,4,11,22,1,Yes,['Plastic'],['Oven'],4638,High
normal,male,vegetarian,less frequently,wood,private,lpg,often,183,very frequently,3777,extra large,6,20,40,20,Sometimes,"['Plastic', 'Glass']",['Microwave'],4869,High
overweight,male,omnivore,daily,electricity,private,petrol,sometimes,64,never,9942,large,3,11,28,24,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],5071,High
obese,female,pescatarian,less frequently,wood,private,hybrid,never,143,rarely,5272,small,3,1,14,8,No,[],"['Microwave', 'Grill', 'Airfryer']",2192,Low
obese,female,omnivore,twice a day,electricity,private,lpg,never,200,never,8493,large,5,5,23,19,Yes,['Metal'],['Oven'],3957,High
